index	wnid	synset	name	lemmas
861	n04447861	toilet_seat.n.01	toilet seat	toilet seat
862	n04456115	torch.n.01	torch	torch
863	n04458633	totem_pole.n.01	totem pole	totem pole
864	n04461696	tow_truck.n.01	tow truck	tow truck, tow car, wrecker
865	n04462240	toyshop.n.01	toyshop	toyshop
866	n04465501	tractor.n.01	tractor	tractor
867	n04467665	trailer_truck.n.01	trailer truck	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
868	n04476259	tray.n.01	tray	tray
869	n04479046	trench_coat.n.01	trench coat	trench coat
870	n04482393	tricycle.n.01	tricycle	tricycle, trike, velocipede
871	n04483307	trimaran.n.01	trimaran	trimaran
872	n04485082	tripod.n.01	tripod	tripod
873	n04486054	triumphal_arch.n.01	triumphal arch	triumphal arch
874	n04487081	trolleybus.n.01	trolleybus	trolleybus, trolley coach, trackless trolley
875	n04487394	trombone.n.01	trombone	trombone
876	n04493381	tub.n.02	tub	tub, vat
877	n04501370	turnstile.n.01	turnstile	turnstile
878	n04505470	typewriter_keyboard.n.01	typewriter keyboard	typewriter keyboard
879	n04507155	umbrella.n.01	umbrella	umbrella
880	n04509417	unicycle.n.01	unicycle	unicycle, monocycle
881	n04515003	upright.n.02	upright	upright, upright piano
882	n04517823	vacuum.n.04	vacuum	vacuum, vacuum cleaner
883	n04522168	vase.n.01	vase	vase
884	n04523525	vault.n.03	vault	vault
885	n04525038	velvet.n.01	velvet	velvet
886	n04525305	vending_machine.n.01	vending machine	vending machine
887	n04532106	vestment.n.01	vestment	vestment
888	n04532670	viaduct.n.01	viaduct	viaduct
889	n04536866	violin.n.01	violin	violin, fiddle
890	n04540053	volleyball.n.02	volleyball	volleyball
891	n04542943	waffle_iron.n.01	waffle iron	waffle iron
892	n04548280	wall_clock.n.01	wall clock	wall clock
893	n04548362	wallet.n.01	wallet	wallet, billfold, notecase, pocketbook
894	n04550184	wardrobe.n.01	wardrobe	wardrobe, closet, press
895	n04552348	warplane.n.01	warplane	warplane, military plane
896	n04553703	washbasin.n.02	washbasin	washbasin, handbasin, washbowl, lavabo, wash-hand basin
897	n04554684	washer.n.03	washer	washer, automatic washer, washing machine
898	n04557648	water_bottle.n.01	water bottle	water bottle
899	n04560804	water_jug.n.01	water jug	water jug
900	n04562935	water_tower.n.01	water tower	water tower
901	n04579145	whiskey_jug.n.01	whiskey jug	whiskey jug
902	n04579432	whistle.n.04	whistle	whistle
903	n04584207	wig.n.01	wig	wig
904	n04589890	window_screen.n.01	window screen	window screen
905	n04590129	window_shade.n.01	window shade	window shade
906	n04591157	windsor_tie.n.01	Windsor tie	Windsor tie
907	n04591713	wine_bottle.n.01	wine bottle	wine bottle
908	n04592741	wing.n.02	wing	wing
909	n04596742	wok.n.01	wok	wok
910	n04597913	wooden_spoon.n.02	wooden spoon	wooden spoon
911	n04599235	wool.n.01	wool	wool, woolen, woollen
912	n04604644	worm_fence.n.01	worm fence	worm fence, snake fence, snake-rail fence, Virginia fence
913	n04606251	wreck.n.04	wreck	wreck
914	n04612504	yawl.n.01	yawl	yawl
915	n04613696	yurt.n.01	yurt	yurt
916	n06359193	web_site.n.01	web site	web site, website, internet site, site
917	n06596364	comic_book.n.01	comic book	comic book
918	n06785654	crossword_puzzle.n.01	crossword puzzle	crossword puzzle, crossword
919	n06794110	street_sign.n.01	street sign	street sign
920	n06874185	traffic_light.n.01	traffic light	traffic light, traffic signal, stoplight
921	n07248320	book_jacket.n.01	book jacket	book jacket, dust cover, dust jacket, dust wrapper
922	n07565083	menu.n.02	menu	menu
923	n07579787	plate.n.08	plate	plate
924	n07583066	guacamole.n.01	guacamole	guacamole
925	n07584110	consomme.n.01	consomme	consomme
926	n07590611	hot_pot.n.01	hot pot	hot pot, hotpot
927	n07613480	trifle.n.01	trifle	trifle
928	n07614500	ice_cream.n.01	ice cream	ice cream, icecream
929	n07615774	ice_lolly.n.01	ice lolly	ice lolly, lolly, lollipop, popsicle
930	n07684084	french_loaf.n.01	French loaf	French loaf
931	n07693725	bagel.n.01	bagel	bagel, beigel
932	n07695742	pretzel.n.01	pretzel	pretzel
933	n07697313	cheeseburger.n.01	cheeseburger	cheeseburger
934	n07697537	hotdog.n.02	hotdog	hotdog, hot dog, red hot
935	n07711569	mashed_potato.n.01	mashed potato	mashed potato
936	n07714571	head_cabbage.n.02	head cabbage	head cabbage
937	n07714990	broccoli.n.02	broccoli	broccoli
938	n07715103	cauliflower.n.02	cauliflower	cauliflower
939	n07716358	zucchini.n.02	zucchini	zucchini, courgette
940	n07716906	spaghetti_squash.n.02	spaghetti squash	spaghetti squash
941	n07717410	acorn_squash.n.02	acorn squash	acorn squash
942	n07717556	butternut_squash.n.02	butternut squash	butternut squash
943	n07718472	cucumber.n.02	cucumber	cucumber, cuke
944	n07718747	artichoke.n.02	artichoke	artichoke, globe artichoke
945	n07720875	bell_pepper.n.02	bell pepper	bell pepper
946	n07730033	cardoon.n.02	cardoon	cardoon
947	n07734744	mushroom.n.05	mushroom	mushroom
948	n07742313	granny_smith.n.01	Granny Smith	Granny Smith
949	n07745940	strawberry.n.01	strawberry	strawberry
950	n07747607	orange.n.01	orange	orange
951	n07749582	lemon.n.01	lemon	lemon
952	n07753113	fig.n.04	fig	fig
953	n07753275	pineapple.n.02	pineapple	pineapple, ananas
954	n07753592	banana.n.02	banana	banana
955	n07754684	jackfruit.n.02	jackfruit	jackfruit, jak, jack
956	n07760859	custard_apple.n.02	custard apple	custard apple
957	n07768694	pomegranate.n.02	pomegranate	pomegranate
958	n07802026	hay.n.01	hay	hay
959	n07831146	carbonara.n.01	carbonara	carbonara
960	n07836838	chocolate_sauce.n.01	chocolate sauce	chocolate sauce, chocolate syrup
961	n07860988	dough.n.01	dough	dough
962	n07871810	meat_loaf.n.01	meat loaf	meat loaf, meatloaf
963	n07873807	pizza.n.01	pizza	pizza, pizza pie
964	n07875152	potpie.n.01	potpie	potpie
965	n07880968	burrito.n.01	burrito	burrito
966	n07892512	red_wine.n.01	red wine	red wine
967	n07920052	espresso.n.01	espresso	espresso
968	n07930864	cup.n.06	cup	cup
969	n07932039	eggnog.n.01	eggnog	eggnog
970	n09193705	alp.n.01	alp	alp
971	n09229709	bubble.n.01	bubble	bubble
972	n09246464	cliff.n.01	cliff	cliff, drop, drop-off
973	n09256479	coral_reef.n.01	coral reef	coral reef
974	n09288635	geyser.n.01	geyser	geyser
975	n09332890	lakeside.n.01	lakeside	lakeside, lakeshore
976	n09399592	promontory.n.01	promontory	promontory, headland, head, foreland
977	n09421951	sandbar.n.01	sandbar	sandbar, sand bar
978	n09428293	seashore.n.01	seashore	seashore, coast, seacoast, sea-coast
979	n09468604	valley.n.01	valley	valley, vale
980	n09472597	volcano.n.02	volcano	volcano
981	n09835506	ballplayer.n.01	ballplayer	ballplayer, baseball player
982	n10148035	groom.n.01	groom	groom, bridegroom
983	n10565667	scuba_diver.n.01	scuba diver	scuba diver
984	n11879895	rapeseed.n.01	rapeseed	rapeseed
985	n11939491	daisy.n.01	daisy	daisy
986	n12057211	yellow_lady's_slipper.n.01	yellow lady's slipper	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
987	n12144580	corn.n.02	corn	corn
988	n12267677	acorn.n.01	acorn	acorn
989	n12620546	hip.n.05	hip	hip, rose hip, rosehip
990	n12768682	buckeye.n.01	buckeye	buckeye, horse chestnut, conker
991	n12985857	coral_fungus.n.01	coral fungus	coral fungus
992	n12998815	agaric.n.02	agaric	agaric
993	n13037406	gyromitra.n.01	gyromitra	gyromitra
994	n13040303	stinkhorn.n.01	stinkhorn	stinkhorn, carrion fungus
995	n13044778	earthstar.n.01	earthstar	earthstar
996	n13052670	hen-of-the-woods.n.01	hen-of-the-woods	hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
997	n13054560	bolete.n.01	bolete	bolete
998	n13133613	ear.n.05	ear	ear, spike, capitulum
999	n15075141	toilet_tissue.n.01	toilet tissue	toilet tissue, toilet paper, bathroom tissue
